P_1000all,P_100all,P_10all,P_20all,Rprecall,bprefall,errall,map_cut_1000all,map_cut_100all,map_cut_10all,map_cut_20all,ndcg_cut_1000all,ndcg_cut_100all,ndcg_cut_10all,ndcg_cut_20all,rdp_5all,rdp_8all,rdp_95all,recall_1000all,recall_100all,recall_10all,recall_20all,recip_rankall
0.0229,0.157,0.304,0.292,0.1651,0.157,0.0936,0.095,0.0839,0.0293,0.0447,0.2238,0.2062,0.1957,0.2128,0.2987,0.3013,0.2555,0.2648,0.1919,0.0442,0.0787,0.4348
0.023,0.1576,0.304,0.293,0.1653,0.1568,0.09461,0.0955,0.0842,0.0293,0.0447,0.224,0.2054,0.1956,0.2128,0.2994,0.3006,0.256,0.265,0.1914,0.0433,0.0778,0.4316
0.0229,0.1592,0.304,0.294,0.1644,0.1568,0.09601,0.0956,0.0844,0.0294,0.0451,0.224,0.2072,0.1973,0.2152,0.304,0.3059,0.2578,0.263,0.1929,0.0428,0.079,0.4376
0.0229,0.1596,0.312,0.295,0.1654,0.1576,0.09661,0.0956,0.0846,0.0299,0.0456,0.2253,0.2091,0.2029,0.2161,0.3033,0.3076,0.2578,0.2638,0.1939,0.0443,0.0785,0.4397
0.022,0.1514,0.278,0.277,0.1553,0.1508,0.09458,0.0876,0.077,0.0249,0.0406,0.2158,0.1985,0.1861,0.2025,0.2694,0.2806,0.2409,0.2557,0.1846,0.0389,0.0759,0.4092
0.0106,0.0992,0.396,0.316,0.1007,0.0989,0.1237,0.0586,0.0581,0.0349,0.0471,0.145,0.1578,0.265,0.2435,0.4306,0.3976,0.2479,0.1136,0.1062,0.0508,0.0721,0.5737
0.0321,0.1708,0.414,0.342,0.1775,0.248,0.14768,0.1164,0.0974,0.0416,0.0583,0.2998,0.2426,0.291,0.2727,0.4614,0.4158,0.2941,0.3852,0.2365,0.0734,0.1081,0.5986
0.0301,0.1678,0.356,0.339,0.1798,0.2369,0.15801,0.1072,0.0906,0.0322,0.0518,0.2939,0.2412,0.2696,0.2764,0.4256,0.3774,0.2869,0.386,0.2303,0.0522,0.1132,0.5678
0.031,0.168,0.422,0.379,0.1813,0.2469,0.14446,0.1157,0.0984,0.0393,0.0615,0.3041,0.2484,0.2945,0.2995,0.419,0.4116,0.3101,0.3941,0.2307,0.0586,0.122,0.5565
0.0294,0.14,0.314,0.273,0.1476,0.2101,0.09596,0.0813,0.0645,0.0261,0.0381,0.241,0.1798,0.199,0.1961,0.3518,0.3261,0.2315,0.3363,0.1839,0.0416,0.0684,0.4892
0.0325,0.1702,0.402,0.367,0.1798,0.2421,0.13178,0.1147,0.0955,0.0356,0.0576,0.2989,0.2422,0.268,0.2793,0.3948,0.3966,0.2988,0.3921,0.2445,0.0524,0.1174,0.5253
0.0319,0.175,0.392,0.367,0.1825,0.24,0.12844,0.1147,0.0967,0.0346,0.0574,0.2949,0.2427,0.26,0.2776,0.3838,0.3862,0.2995,0.3857,0.2473,0.0564,0.128,0.5195
0.0009,0.0028,0.024,0.013,0.0037,0.0258,0.00786,0.0013,0.0013,0.0012,0.0012,0.009,0.0062,0.0134,0.0103,0.0279,0.0232,0.0105,0.0107,0.0037,0.0034,0.0035,0.0604
0.0468,0.1656,0.298,0.27,0.1678,0.2634,0.08503,0.1259,0.0864,0.0269,0.0429,0.3472,0.2111,0.1929,0.1985,0.2655,0.2793,0.2357,0.5611,0.2208,0.0439,0.0776,0.3946
0.0532,0.2018,0.368,0.336,0.2203,0.3337,0.12845,0.1703,0.1216,0.0393,0.0636,0.4306,0.2795,0.2587,0.2608,0.384,0.3621,0.2916,0.6516,0.2787,0.061,0.1086,0.5345
0.0499,0.1912,0.326,0.31,0.2022,0.3069,0.10897,0.1511,0.1053,0.0307,0.0522,0.3908,0.2505,0.2222,0.2317,0.3254,0.3236,0.2709,0.5993,0.2539,0.0514,0.0947,0.4652
0.0106,0.0992,0.392,0.327,0.1,0.0992,0.1231,0.0603,0.0598,0.0361,0.0492,0.1449,0.1578,0.2625,0.2486,0.4303,0.3968,0.2517,0.1136,0.1062,0.0509,0.0752,0.5674
0.0452,0.2418,0.504,0.458,0.2548,0.3239,0.18428,0.193,0.155,0.054,0.0841,0.4111,0.3287,0.3593,0.3629,0.5155,0.5024,0.3863,0.5425,0.3033,0.0734,0.1311,0.6099
